sr_no,request_ref_no,operator,circle_id,data_type,msisdn,imsi,imei,sim_serial_no,session_start_date,session_start_time,session_start_datetime,session_end_date,session_end_time,session_end_datetime,session_duration_sec,session_duration_hhmmss,uplink_bytes,downlink_bytes,total_bytes,uplink_kb,downlink_kb,apn,ip_version,ip_assigned_ue,ip_assigned_nat,ip_assigned_public,src_port_ue,dst_ip,dst_port,protocol,l7_protocol,url_domain,url_full,app_name,app_category,content_type,encryption_flag,vpn_detected,tor_detected,proxy_detected,serving_lac,serving_ci,serving_bts_address,serving_bts_lat,serving_bts_lon,serving_bts_district,serving_bts_state,rat_type,band_mhz,rsrp_dbm,sinr_db,first_cgi,last_cgi,mme_id,pgw_id,sgw_id,pcrf_id,ocs_id,teid_uplink,teid_downlink,bearer_id,qci_class,roaming_flag,roaming_network,charging_id,subscriber_name,kyc_type,kyc_status,plan_type,handset_make,handset_model,handset_ua,data_requested_by,data_request_date,court_order_ref,telecom_response_date,remarks
26,REQ-CMM/NW/2024/0312-I0026,Airtel,Delhi,IPDR,9811045723,404201234567890,356789012345678,8991101234567890123,2024-03-15,16:00:00,2024-03-15 16:00:00,2024-03-15,16:40:00,2024-03-15 16:40:00,2400,00:40:00,312000,1980000,2292000,304.69,1933.59,airtelgprs.com,IPv4,10.199.107.59,203.124.30.125,203.124.30.125,28054,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,40503,70301,"Manesar IMT Phase-1, Haryana",28.3812,76.9701,Gurugram,Haryana,4G-LTE,1800,-68,14,40503-70301,40503-70301,MME-AI-DL-01,PGW-AI-DL-01,SGW-AI-DL-03,PCRF-AI-01,OCS-AI-01,0x44678,0x5e405,BID-000026,QCI-9,N,,,Rakesh Kumar,Aadhaar,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
27,REQ-CMM/NW/2024/0312-I0027,Airtel,Delhi,IPDR,9811045723,404201234567890,356789012345678,8991101234567890123,2024-03-16,09:00:00,2024-03-16 09:00:00,2024-03-16,09:30:00,2024-03-16 09:30:00,1800,00:30:00,245000,1540000,1785000,239.26,1503.91,airtelgprs.com,IPv4,10.19.144.236,203.125.199.144,203.125.199.144,33178,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,40501,70101,"Gurugram Sector 14 Huda Market, Haryana",28.4595,77.0266,Gurugram,Haryana,4G-LTE,1800,-69,20,40501-70101,40501-70101,MME-AI-DL-01,PGW-AI-DL-01,SGW-AI-DL-03,PCRF-AI-01,OCS-AI-01,0x44dda,0xcc147,BID-000027,QCI-9,N,,,Rakesh Kumar,Aadhaar,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
28,REQ-CMM/NW/2024/0312-I0028,Jio,Delhi,IPDR,7011238456,404202345678901,357890123456789,8991202345678901234,2024-03-16,09:15:00,2024-03-16 09:15:00,2024-03-16,09:35:00,2024-03-16 09:35:00,1200,00:20:00,156000,890000,1046000,152.34,869.14,jionet,IPv4,10.21.191.174,203.114.186.33,203.114.186.33,19843,149.154.167.99,443,TCP,HTTPS,t.me,core.telegram.org,Telegram,Messaging,HTML,Y,N,N,N,20302,50201,"Uttam Nagar East Metro, Delhi",28.5921,77.0464,West Delhi,Delhi,4G-LTE,1800,-76,5,20302-50201,20302-50201,MME-JI-DL-01,PGW-JI-DL-01,SGW-JI-DL-03,PCRF-JI-01,OCS-JI-01,0xeba1f,0x3b795,BID-000028,QCI-9,N,,,Suresh Yadav,DL,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
29,REQ-CMM/NW/2024/0312-I0029,Jio,Delhi,IPDR,9899456012,404451111000222,353456789012345,8991451111000222001,2024-03-16,09:55:00,2024-03-16 09:55:00,2024-03-16,09:59:00,2024-03-16 09:59:00,240,00:04:00,18000,67000,85000,17.58,65.43,jionet,IPv4,10.9.195.132,203.182.98.43,203.182.98.43,56985,142.250.195.142,443,TCP,HTTPS,maps.google.com,maps.google.com,Google Maps,Maps/Navigation,HTML,N,N,N,N,20303,50301,"Dwarka Sector 23 Market, Delhi",28.524,77.035,South West Delhi,Delhi,4G-LTE,1800,-96,22,20303-50301,20303-50301,MME-JI-DL-01,PGW-JI-DL-01,SGW-JI-DL-03,PCRF-JI-01,OCS-JI-01,0x7303c,0xe0ad9,BID-000029,QCI-9,N,,,NOT REGISTERED,Aadhaar,FAKE – Aadhaar not seeded,Prepaid,Redmi,Note 12,Mozilla/5.0 (Linux; Android 13; 22111317I),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
30,REQ-CMM/NW/2024/0312-I0030,Airtel,Delhi,IPDR,9811045723,404201234567890,356789012345678,8991101234567890123,2024-03-16,11:20:00,2024-03-16 11:20:00,2024-03-16,12:20:00,2024-03-16 12:20:00,3600,01:00:00,398000,2340000,2738000,388.67,2285.16,airtelgprs.com,IPv4,10.156.195.248,203.178.42.88,203.178.42.88,32439,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,40501,70101,"Gurugram Sector 14 Huda Market, Haryana",28.4595,77.0266,Gurugram,Haryana,4G-LTE,1800,-70,16,40501-70101,40501-70101,MME-AI-DL-01,PGW-AI-DL-01,SGW-AI-DL-03,PCRF-AI-01,OCS-AI-01,0xde58c,0x25ef0,BID-000030,QCI-9,N,,,Rakesh Kumar,Aadhaar,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
31,REQ-CMM/NW/2024/0312-I0031,Vi,Haryana,IPDR,9654012387,404451234567002,352012345678901,8991451234567002002,2024-03-16,11:30:00,2024-03-16 11:30:00,2024-03-16,12:00:00,2024-03-16 12:00:00,1800,00:30:00,189000,1100000,1289000,184.57,1074.22,internet,IPv4,10.49.79.46,203.194.29.38,203.194.29.38,44160,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,40502,70201,"NH-48 Kherki Daula Toll, Gurugram, Haryana",28.4089,76.9985,Gurugram,Haryana,4G-LTE,1800,-64,3,40502-70201,40502-70201,MME-VI-DL-01,PGW-VI-DL-01,SGW-VI-DL-03,PCRF-VI-01,OCS-VI-01,0x97886,0xbcff2,BID-000031,QCI-9,N,,,Dinesh Chauhan,Aadhaar,GENUINE,Prepaid,Oppo,Reno 8,Mozilla/5.0 (Linux; Android 13; CPH2387),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
32,REQ-CMM/NW/2024/0312-I0032,Jio,Delhi,IPDR,9711234560,404202222333444,354567890123456,8991202222333444001,2024-03-16,13:00:00,2024-03-16 13:00:00,2024-03-16,13:15:00,2024-03-16 13:15:00,900,00:15:00,98000,450000,548000,95.7,439.45,jionet,IPv4,10.60.97.235,203.187.204.25,203.187.204.25,25424,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,20302,50201,"Uttam Nagar East Metro, Delhi",28.5921,77.0464,West Delhi,Delhi,4G-LTE,1800,-74,17,20302-50201,20302-50201,MME-JI-DL-01,PGW-JI-DL-01,SGW-JI-DL-03,PCRF-JI-01,OCS-JI-01,0xe0cd3,0xe3e5a,BID-000032,QCI-9,N,,,Ramesh Prasad,Aadhaar,GENUINE,Prepaid,Vivo,Y75,Mozilla/5.0 (Linux; Android 13; V2254A),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
33,REQ-CMM/NW/2024/0312-I0033,Airtel,Delhi,IPDR,9811045723,404201234567890,356789012345678,8991101234567890123,2024-03-17,08:00:00,2024-03-17 08:00:00,2024-03-17,08:40:00,2024-03-17 08:40:00,2400,00:40:00,312000,1890000,2202000,304.69,1845.7,airtelgprs.com,IPv4,10.188.203.155,203.110.225.210,203.110.225.210,20909,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,40501,70101,"Gurugram Sector 14 Huda Market, Haryana",28.4595,77.0266,Gurugram,Haryana,4G-LTE,1800,-61,17,40501-70101,40501-70101,MME-AI-DL-01,PGW-AI-DL-01,SGW-AI-DL-03,PCRF-AI-01,OCS-AI-01,0x41bda,0xef16f,BID-000033,QCI-9,N,,,Rakesh Kumar,Aadhaar,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
34,REQ-CMM/NW/2024/0312-I0034,Jio,Delhi,IPDR,9899456012,404451111000222,353456789012345,8991451111000222001,2024-03-17,08:55:00,2024-03-17 08:55:00,2024-03-17,08:58:00,2024-03-17 08:58:00,180,00:03:00,9000,42000,51000,8.79,41.02,jionet,IPv4,10.96.65.81,203.175.12.150,203.175.12.150,29702,142.250.195.142,443,TCP,HTTPS,maps.google.com,maps.google.com,Google Maps,Maps/Navigation,HTML,N,N,N,N,20303,50302,"Dwarka Sector 25, Delhi",28.5105,77.0289,South West Delhi,Delhi,4G-LTE,1800,-100,7,20303-50302,20303-50302,MME-JI-DL-01,PGW-JI-DL-01,SGW-JI-DL-03,PCRF-JI-01,OCS-JI-01,0x7decc,0x1da1a,BID-000034,QCI-9,N,,,NOT REGISTERED,Aadhaar,FAKE – Aadhaar not seeded,Prepaid,Redmi,Note 12,Mozilla/5.0 (Linux; Android 13; 22111317I),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
35,REQ-CMM/NW/2024/0312-I0035,Jio,Delhi,IPDR,7011238456,404202345678901,357890123456789,8991202345678901234,2024-03-17,09:10:00,2024-03-17 09:10:00,2024-03-17,09:40:00,2024-03-17 09:40:00,1800,00:30:00,234000,1200000,1434000,228.52,1171.88,jionet,IPv4,10.242.3.226,203.136.208.143,203.136.208.143,18100,149.154.167.99,443,TCP,HTTPS,t.me,core.telegram.org,Telegram,Messaging,HTML,Y,N,N,N,20303,50301,"Dwarka Sector 23 Market, Delhi",28.524,77.035,South West Delhi,Delhi,4G-LTE,1800,-79,16,20303-50301,20303-50301,MME-JI-DL-01,PGW-JI-DL-01,SGW-JI-DL-03,PCRF-JI-01,OCS-JI-01,0x641f1,0x62ae2,BID-000035,QCI-9,N,,,Suresh Yadav,DL,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
36,REQ-CMM/NW/2024/0312-I0036,Airtel,Delhi,IPDR,9811045723,404201234567890,356789012345678,8991101234567890123,2024-03-17,11:20:00,2024-03-17 11:20:00,2024-03-17,11:50:00,2024-03-17 11:50:00,1800,00:30:00,223000,1345000,1568000,217.77,1313.48,airtelgprs.com,IPv4,10.206.19.11,203.145.42.156,203.145.42.156,65481,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,40503,70301,"Manesar IMT Phase-1, Haryana",28.3812,76.9701,Gurugram,Haryana,4G-LTE,1800,-89,24,40503-70301,40503-70301,MME-AI-DL-01,PGW-AI-DL-01,SGW-AI-DL-03,PCRF-AI-01,OCS-AI-01,0xc7676,0x69a64,BID-000036,QCI-9,N,,,Rakesh Kumar,Aadhaar,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
